,time,latitude,longitude,2m_temperature,diff
1954,1990-03-23 10:00:00,40.25,271.75,271.3658,-2.5640259
2188,1990-04-02 04:00:00,40.25,271.75,280.39584,-3.6845398
2206,1990-04-02 22:00:00,40.25,271.75,276.27072,-2.5854797
2207,1990-04-02 23:00:00,40.25,271.75,276.18982,-2.6699524
2225,1990-04-03 17:00:00,40.25,271.75,275.90317,-2.9925232
2254,1990-04-04 22:00:00,40.25,271.75,283.7393,-2.9589233
2259,1990-04-05 03:00:00,40.25,271.75,277.05768,-2.659912
2302,1990-04-06 22:00:00,40.25,271.75,275.71652,-3.0475159
2303,1990-04-06 23:00:00,40.25,271.75,275.36255,-2.6940918
2307,1990-04-07 03:00:00,40.25,271.75,270.73108,-2.5867615
2393,1990-04-10 17:00:00,40.25,271.75,279.4957,-3.468628
2394,1990-04-10 18:00:00,40.25,271.75,278.18103,-2.5851746
2422,1990-04-11 22:00:00,40.25,271.75,277.0629,-2.7415771
2423,1990-04-11 23:00:00,40.25,271.75,276.88223,-2.664795
2437,1990-04-12 13:00:00,40.25,271.75,270.7276,-2.8327026
2536,1990-04-16 16:00:00,40.25,271.75,285.11398,-2.9810486
2542,1990-04-16 22:00:00,40.25,271.75,287.48572,-2.6032104
2549,1990-04-17 05:00:00,40.25,271.75,280.74338,-3.5263977
2550,1990-04-17 06:00:00,40.25,271.75,278.4677,-2.768982
2612,1990-04-19 20:00:00,40.25,271.75,284.22723,-2.6392212
2827,1990-04-28 19:00:00,40.25,271.75,290.50845,-3.013916
2828,1990-04-28 20:00:00,40.25,271.75,287.39844,-4.4721985
2830,1990-04-28 22:00:00,40.25,271.75,283.0709,-3.933258
2831,1990-04-28 23:00:00,40.25,271.75,282.82675,-3.5718384
2835,1990-04-29 03:00:00,40.25,271.75,282.01614,-2.633545
2883,1990-05-01 03:00:00,40.25,271.75,283.0766,-2.782196
2970,1990-05-04 18:00:00,40.25,271.75,290.6924,-3.001068
2971,1990-05-04 19:00:00,40.25,271.75,290.88773,-5.1760254
2974,1990-05-04 22:00:00,40.25,271.75,288.90216,-4.164093
2975,1990-05-04 23:00:00,40.25,271.75,287.87793,-4.0823975
2976,1990-05-05 00:00:00,40.25,271.75,286.50928,-3.275238
2977,1990-05-05 01:00:00,40.25,271.75,283.93326,-3.1953125
3092,1990-05-09 20:00:00,40.25,271.75,293.8447,-3.6479797
3093,1990-05-09 21:00:00,40.25,271.75,293.5348,-3.6322021
3094,1990-05-09 22:00:00,40.25,271.75,292.58536,-4.4267273
3095,1990-05-09 23:00:00,40.25,271.75,291.79,-4.7044983
3096,1990-05-10 00:00:00,40.25,271.75,290.04007,-4.8985596
3097,1990-05-10 01:00:00,40.25,271.75,289.8016,-2.4979858
3099,1990-05-10 03:00:00,40.25,271.75,285.15363,-5.0126343
3100,1990-05-10 04:00:00,40.25,271.75,284.24384,-2.7224731
